title,genres,release_year,overview,imdb_id,budget,revenue,vote_average,vote_count,release_decade
The Happy Film,Documentary,2016,"New York designer Stefan Sagmeister lives in the city of his dreams, and creates work for the likes of the Rolling Stones and Jay-Z. Business is good, creative juices are flowing, and yet he suspects there must be more to life. Sagmeister takes on the daunting project of changing his personality by trying to figure out the causes of happiness. On the advice of a trusted psychologist Sagmeister experiments with three different approaches: meditation, therapy, and drugs. The Happy Film follows his pursuit, and all that he encounters along the way: joy, ecstasy, heartbreak, change, love, and death.",tt5134870,0,0.0,6.0,1.0,2010-2019
The Division: Agent Origins,Action,2016,"Inspired by the groundbreaking video game and created in collaboration with innovative YouTube powerhouses CorridorDigital, RocketJump, and Devin Supertramp, Ubisoft proudly presents Tom Clancy’s The Division: Agent Origins. This thrilling live action video series follows the lives of four agents of The Division as they’re activated and leap headfirst into the fight to save New York City.",tt5354588,0,0.0,6.3,27.0,2010-2019
The Meddler,"Comedy, Drama",2016,An aging widow from New York City follows her daughter to Los Angeles in hopes of starting a new life after her husband passes away.,tt4501454,3200000,4267218.0,6.0,89.0,2010-2019
Weiner,Documentary,2016,"Documentary featuring a jaw-dropping, behind-the-scenes look at the attempted comeback of Anthony Weiner in 2013 as he mounts a campaign for New York City mayor in the wake of his sexting scandal. Featuring unfettered access to the candidate and his campaign.",tt5278596,0,0.0,7.7,51.0,2010-2019
37,Drama,2016,"On a March night in 1964, 37 neighbors in Queens, New York, witness the brutal murder of Kitty Genovese. None of them takes action or calls the police. 37 tells the story of a few of these people and what led up to the night when they unexplainably remained passive observers. The film is a convincing portrayal of a borough in change and a time characterized by racism, the Civil Rights Movement and political shifts. The actual event that inspired the film’s plot has been called a symbol for the moment when America lost its innocence. The director Puk Grasten skillfully weaves into her feature film debut various fates, dreams and family conflicts by leading us through an apartment building that comes to bear a collective failure.",tt4882174,0,0.0,4.6,8.0,2010-2019
Genius,"Drama, History",2016,"New York in the 1920s. Max Perkins, literary editor at Scribner’s Sons is the first to sign such subsequent literary greats as Ernest Hemingway and F. Scott Fitzgerald. When a sprawling, chaotic 1,000-page manuscript by an unknown writer named Thomas Wolfe falls into his hands, Perkins is convinced he has discovered a literary genius. Together the two men set out to work on a version for publication and a seemingly endless struggle over every single phrase ensues. During this process, Perkins the gentle family man and Wolfe the eccentric author become close – a relationship eyed with suspicion by their wives. When ‘Look Homeward, Angel’ becomes a resounding success, the writer grows increasingly paranoid.",tt1703957,0,5681622.0,6.5,174.0,2010-2019
Big Jay Oakerson: Live at Webster Hall,Comedy,2016,"From the legendary New York City music venue, the man The New York Times called “a master of the dirty joke” dishes on the taboos of growing up with step parents, how to navigate “the friend zone,” and why nobody should feel uncomfortable about cringe-worthy material at a comedy show.",tt5814512,0,0.0,10.0,1.0,2010-2019
Unleashing Mr. Darcy,"Romance, TV Movie",2016,"Fishing for direction in life, Elizabeth gets the opportunity of showing her dog in a fancy New York dog show. The judge, Donovan Darcy, comes across as aristocratic and rude, and a chain of misunderstandings unfold during the competition, complicating their attraction to one another.",tt5231268,0,0.0,4.1,16.0,2010-2019
El pregón,Comedy,2016,"Set against the backdrop of an international finance deal in New York and Peru, Oliver's Deal is an intense political drama which explores how far people will go to get what they want.",tt4866712,0,0.0,5.3,25.0,2010-2019
Author: The JT LeRoy Story,Documentary,2016,"New York magazine’s October 2005 issue sent shockwaves through the literary world when it unmasked “it boy” wunderkind JT LeRoy, whose tough prose about his sordid childhood had captivated icons and luminaries internationally. It turned out LeRoy didn’t actually exist. He was dreamed up by 40-year-old San Francisco punk rocker and phone sex operator, Laura Albert.",tt5278462,0,0.0,6.2,9.0,2010-2019
Donald Trump's The Art of the Deal: The Movie,Comedy,2016,"Donald Trump has it all. Money, power, respect, and an Eastern European bride. But all his success didn’t come for nothing. First, he inherited millions of dollars from his rich father, then he grabbed New York City by the balls. Now you can learn the art of negotiation, real estate, and high-quality brass in this illuminating made-for-TV special feature, Funny Or Die Presents Donald Trump’s The Art Of The Deal: The Movie.",tt5456120,0,0.0,5.7,29.0,2010-2019
Special Correspondents,Comedy,2016,A radio journalist and his technician get in over their heads when they hatch a scheme to fake their own kidnapping during a rebel uprising in South America and hide out in New York instead.,tt4181052,0,0.0,5.6,159.0,2010-2019
"New York, New York",Romance,2016,"It’s 1994 and Lu Tu (Ethan Juan) is the youngest concierge ever at five-star Chinese hotel; smart, loyal and honest, he’s respected by his fellow employees and lauded by his superiors.  When he’s tempted with an invitation to run a new hotel in the Big Apple, everyone around him looks to take advantage of the move, including a love interest (Du Juan) who may not be as trustworthy as she seems.",tt5576336,0,0.0,5.0,1.0,2010-2019
Despite the Falling Snow,"Drama, Mystery, Romance, Thriller",2016,"In Cold War Moscow, a female spy steals secrets from an idealistic politician – and falls in love with him.  Moscow, 1959: Katya (Rebecca Ferguson, Mission Impossible- Rogue Nation, The Girl on the Train, The White Queen), is young, beautiful – and a spy for the Americans. When she and Mischa (Oliver Jackson-Cohen, Emerald City), begin spying on Alexander ( Sam Reid, Anonymous), an idealistic Communist politician, the last thing she expects is to fall in love with him. Her choice between love and duty leads to a nail-biting conclusion that Alexander (Charles Dance, The Imitation Game) can only unravel decades later in 1990s New York. His journey back to the snowbound streets of Moscow uncovers a love triangle and betrayals from those he trusted most.",tt2474932,0,0.0,4.7,16.0,2010-2019
Pete Davidson: SMD,Comedy,2016,"Filmed in front of a sold-out hometown crowd in New York City, ""SMD"" is the first Comedy Central stand-up special from Saturday Night Live's Pete Davidson. The special is filled with Davidson's unfiltered, brutally honest anecdotes about smoking a Snoop Dog amount of weed, texting his mom dick pics, and his issue with male porn stars. From his stint in ""prehab"" to this one time at a Justin Bieber concert, Davidson proves that even at 22, he and his friends have had some high times and heavy experiences.",tt6114246,0,0.0,5.0,1.0,2010-2019
All Roads Lead to Rome,"Comedy, Romance",2016,"Maggie is an uptight, single mother and college writing teacher from New York City. In an effort to reconnect with her troubled teen daughter Summer, she decides to embark on a journey to a Tuscan village where she frequented in her younger days. Upon arrival, Maggie runs into Luca a handsome former lover who is still a bachelor and lives with his eighty-year-old mother Carmen. Summer (missing her “bad boy” boyfriend in NYC) and Carmen (secretly planning a wedding against Luca’s wishes to MARCELINO, her one true love in Rome) impulsively steal Luca’s car and race off to Rome. Maggie and Luca quickly pursue allowing the two mismatched couples to spend some time together and develop a new understanding of each other.",tt4119278,0,0.0,4.7,63.0,2010-2019
Amy Schumer: Live at the Apollo,Comedy,2015,"With her unique blend of honesty and unapologetic humor, Amy Schumer is one of the funniest, freshest faces in the industry today. This October, Schumer's provocative and hilariously wicked mind will be on full display as she headlines her first HBO stand-up comedy special: 'Amy Schumer: Live at the Apollo.' Directed by Chris Rock, the one-hour special features the comedian talking about her life and was taped before a live audience at New York’s iconic Apollo Theater.",tt4909348,0,0.0,6.9,22.0,2010-2019
Glory Daze: The Life and Times of Michael Alig,Documentary,2015,"A review of the wild New York City nightlife of the 90s. The cast of characters who made up the infamous Club Kids speak candidly about that era, culminating with Alig's release from incarceration.",tt1871279,0,0.0,6.0,2.0,2010-2019
Live from New York!,"Comedy, Documentary",2015,"Saturday Night Live has been reflecting and influencing life in the United States for forty years. LIVE FROM NEW YORK! goes deep inside this television phenomenon exploring the laughter that pulses through American politics, tragedy, and pop culture.",tt4355574,0,0.0,5.4,5.0,2010-2019
Sam,"Romance, Comedy, Fantasy",2015,"An alpha New York City male is magically transformed into a beautiful girl, falls in love, and learns what it means to be a woman.",tt1309379,0,0.0,4.0,5.0,2010-2019
Len and Company,"Comedy, Drama",2015,"A successful music producer quits the industry and exiles himself in upstate New York, but the solitude he seeks is shattered when his estranged son and the pop star he's created come looking for answers.",tt3675204,0,0.0,6.5,4.0,2010-2019
Bridge of Spies,"Thriller, Drama",2015,"During the Cold War, the Soviet Union captures U.S. pilot Francis Gary Powers after shooting down his U-2 spy plane. Sentenced to 10 years in prison, Powers' only hope is New York lawyer James Donovan, recruited by a CIA operative to negotiate his release. Donovan boards a plane to Berlin, hoping to win the young man's freedom through a prisoner exchange. If all goes well, the Russians would get Rudolf Abel, the convicted spy who Donovan defended in court.",tt3682448,40000000,165478348.0,7.2,2633.0,2010-2019
The Night Before,Comedy,2015,"In New York City for their annual tradition of Christmas Eve debauchery, three lifelong best friends set out to find the Holy Grail of Christmas parties since their yearly reunion might be coming to an end.",tt3530002,25000000,52395996.0,6.1,548.0,2010-2019
Triumph in the Skies,"Comedy, Drama, Romance",2015,"Young pilot Branson (Louis Koo) recently takes over Skylette, his father's aviation empire, only to realise his old flames Cassie (Charmaine Sheh) is a flight attendant there. Several years ago, he was forced to break up with her and move to New York to take care of his father's business. To this day, the two continue to harbour feelings for each other but decide to keep them bottled up. In an effort to rebrand the airline, Branson invites rock idol TM to star in an upcoming commercial and appoints Sam (Fransic Ng) as her flying consultant. Incongruent in both tastes and experience, this odd couple gets off on the wrong foot. As the shoot progresses, however, they slowly discover each other's merits, developing a strong mutual attraction. Jayden (Julien Cheung) has left Skylette Airline to become a pilot for private jets. He meets the young and vivacious Kika (Kuo Tsai Chieh) during a flight and assumes her to be wayward and shallow...",tt1929433,0,0.0,3.9,4.0,2010-2019
Rubble Kings,Documentary,2015,Through archival footage Nicholson tells the story of the real Warriors that walked the streets of New York City in the 1970s and the harsh reality of gang life in a city that seemed to be falling apart.,tt1730714,0,0.0,7.1,8.0,2010-2019
Crown for Christmas,"Romance, TV Movie, Comedy",2015,"After getting fired from her job as a maid at a ritzy New York City hotel, Allie reluctantly accepts a temp gig as the governess to a young girl who is part of a powerful family in Europe that lives in an actual castle. After arriving, Allie learns the girl is named Princess Theodora and her father is Maximillion, the King of Winshire. The King informs Allie that the Princess has a tendency to terrorize authority figures, a predilection that has grown worse since her mother’s death. Yet governess and Princess wind up hitting it off while at the same time a spark forms between Allie and Max. However, Countess Celia is expecting to wed the King. Will Max take a stand for his feelings for Allie and make it truly a merry Christmas for all (or at least, most)?",tt5133572,0,0.0,7.1,20.0,2010-2019
Hallway,"Drama, Fantasy",2015,"Shot exclusively in a secret sex club in New York City, a drug-induced queer couple unleash upon each other an existential barrage of delusion and broken dreams.",tt4522158,0,0.0,0.0,0.0,2010-2019
Night of the Living Dead: Darkest Dawn,"Action, Animation, Horror",2015,A group of survivors trapped in a New York apartment fight to stay alive against legions of zombies.,tt1512222,750000,0.0,5.2,6.0,2010-2019
Autumn Dreams,Comedy,2015,"With plans to leave their small town, teenage loves Annie and Ben elope. Their big city plans are halted, though, when Annie's parents have the marriage annulled. Ben moves to New York, while Annie stays in Iowa to help her family. Fifteen years later, both engaged to their respective fiancés, the two discover that their annulment was never finalized. They reunite to make their divorce legal, but begin to reminisce about what could have been. When romantic feelings resurface, Annie and Ben must decide if their past love could be the love of their future.",tt5066870,0,0.0,6.9,14.0,2010-2019
Friends and Romans,,2015,"A group of lifelong mob movie extras mount a production of Shakespeare's Julius Caesar in their local Staten Island theater in order to finally get some speaking roles. But the theater is the secret hideout of a real-life gangster who fancies himself an actor, and whom the FBI are hunting for the recent murder of a Broadway producer. The Feds insert their own undercover agent to audition for the role of Cassius, seeking to determine who is the real gangster among a cast of make-believe criminals. All the while, the oblivious cast seek only to prove to themselves, their families, and friends that they are more than just extras.",tt3480942,0,0.0,6.0,1.0,2010-2019
Alvin and the Chipmunks: The Road Chip,"Adventure, Animation, Comedy, Family",2015,"Through a series of misunderstandings, Alvin, Simon and Theodore come to believe that Dave is going to propose to his new girlfriend in New York City - and dump them. They have three days to get to him and stop the proposal.",tt2974918,0,233755553.0,5.7,438.0,2010-2019
TransFatty Lives,Documentary,2015,"Diagnosed with ALS and given 2 to 5 years to live, New York City DJ, internet personality, and filmmaker, TransFatty, brings his camera along for the ride in this unconventional examination of life, death, and everything in between.",tt4221762,0,0.0,5.0,1.0,2010-2019
Darling,"Horror, Thriller",2015,A young woman slowly goes crazy after taking a job as the caretaker for an ancient New York home.,tt4126394,0,0.0,5.3,19.0,2010-2019
Everything Is Copy,Documentary,2015,"Jacob Bernstein's extremely entertaining film is a tribute to his mother Nora Ephron: Hollywood-raised daughter of screenwriters who grew up to be an ace reporter turned piercingly funny essayist turned novelist/screenwriter/playwright/director. Ephron comes vibrantly alive onscreen via her words; the memories of her sisters, colleagues, former spouses, and many friends; scenes from her movies; and, above all, her own inimitable presence. Watch any given moment of Ephron being her sparkling but caustically witty self (for instance, this response to a scolding talk show host—""You have a soft spot for Julie Nixon, don't you. See, I don't..."") and you find it hard to believe that she’s been gone from our midst for three years. Everything Is Copy (Ephron's motto, inherited from her mother) is a lovingly drawn but frank portrait and, incidentally, a vivid snapshot of an earlier, livelier, bitchier, and funnier moment in New York culture.",tt2831414,0,0.0,7.6,8.0,2010-2019
Ratter,"Drama, Thriller, Horror",2015,"Emma is a young and beautiful graduate student just starting a new life in New York City. Like most people her age, she is always connected - her phone and laptop are constant companions, documenting her most intimate moments. What she doesn't realize is that she's sharing her life with an uninvited and dangerous guest. A hacker is following Emma’s every move. When the voyeuristic thrill of watching her digitally isn't enough, the situation escalates to a dangerous and terrifying level.",tt3836512,500000,0.0,5.1,102.0,2010-2019
Piranha Sharks,"Horror, Comedy",2015,"Great white sharks bio-engineered to be the size of piranhas with the purpose of living in rich peoples exotic aquariums, terrorize New York City when they get into the water supply and do what great white sharks do best.",tt3400060,0,0.0,5.0,4.0,2010-2019
James White,Drama,2015,"James White is a troubled twentysomething trying to stay afloat in a frenzied New York City. As he retreats further into a hedonistic lifestyle, his mother's battle with a serious illness faces a series of setbacks that force him to assume more responsibility. With the pressure on him mounting, James must find new reserves of strength or risk imploding completely.",tt4288636,0,0.0,6.1,42.0,2010-2019
The Wannabe,"Thriller, Mystery, Crime, Drama",2015,"Based on true events, The Wannabe, a story about Thomas, a man obsessed with Mafia culture during the 1990s in New York City.  When Thomas’s failed attempts to fix the trial of infamous mobster John Gotti gets him rejected by the people he idolizes most, he sets off on a drug infused crime spree with his girlfriend and longtime mob groupie, Rose, by brazenly robbing the local Mafia hangouts.",tt3059816,0,0.0,4.8,15.0,2010-2019
Stonewall,Drama,2015,"""Stonewall"" is a drama about a young man in New York caught up during the 1969 Stonewall Riots, a pivotal event widely considered the starting point for the modern gay civil rights movement.",tt3018070,13500000,187674.0,5.2,32.0,2010-2019
Counting,Documentary,2015,"An associative collection of visual impressions across fifteen chapters: a seagull in Porto, political posters in New York, an abstract painting in St. Petersburg, an abandoned video shop in Cairo and cats everywhere you look.",tt4462082,50000,0.0,8.3,3.0,2010-2019
Christmas Incorporated,"Drama, TV Movie",2015,"Sometimes, life just seems to hand you exactly what you need – particularly at Christmastime. In this new yuletide original, Riley is scraping bottom when she miraculously lands a job with a wealthy New York City entrepreneur. He’s a bad-boy socialite type who is poised to play Scrooge by closing one of his factories just before Christmas, which would devastate and entire town. It’s left to Riley to talk him out of it and turn him into a man of virtue rather than shame. But will a case of mistaken identity ruin the whole plan?",tt5204384,0,0.0,6.4,21.0,2010-2019
"Murder, She Baked: A Chocolate Chip Cookie Mystery","TV Movie, Mystery",2015,"Based on the New York Times bestselling book, Chocolate Chip Cookie Murder by Joanne Fluke, the film will take viewers on a mouthwatering mystery that centers on Hannah Swensen, shop owner of the Cookie Jar where much of the town's gossip percolates along with the strong coffee. But when a mysterious murder occurs, Hannah turns into a culinary detective and finds herself trying to solve the crime while getting caught in an unexpected romantic mystery of her own.",tt4621642,0,0.0,7.6,16.0,2010-2019
A Christmas Detour,"Comedy, TV Movie, Romance",2015,"With Christmas only a few days away, Paige Summerland, a Los Angeles magazine writer specializing in relationship advice, boards an eastbound flight to spend the holiday with her fiancé, Jack, meet his parents for the first time and plan her upcoming “dream wedding.” Paige’s enthusiasm turns to panic when a massive snowstorm detours her flight and she meets - and locks horns with - Dylan, a cynical bar manager who has lost his faith in love. When it looks like all hope of arriving in New York for Christmas is lost, Dylan surprises Paige by renting an SUV and offering her a ride. Reluctantly, Paige braves the snowy road trip with Dylan, joined by Frank and Maxine Harper, an older couple whose 20-year marriage has lost its spark. Along the journey, feelings start to develop between Paige and Dylan. Now, as the young bride-to-be scrambles to make it to New York for Christmas, she begins to wonder if she’s marrying the right man and just might learn a surprising lesson about love.",tt4767950,0,0.0,6.8,29.0,2010-2019
The Automatic Hate,"Drama, Comedy",2015,"When Davis Green's (Joseph Cross) alluring young cousin Alexis (Adelaide Clemens) appears on his doorstep one night, he discovers that a side of his family has been kept secret from him. Against his father’s wishes, Davis travels to rural, upstate New York to meet his other cousins. While wrestling with a taboo attraction to one another, he and Alexis attempt to reunite their families, uncovering the reasons behind a long-standing rift and the shocking secret that tore their fathers apart. Together, their discoveries force them to confront the temptation to keep their familial grudge going rather than end it.",tt3122842,0,0.0,6.4,5.0,2010-2019
Tumbledown,"Music, Romance, Comedy",2015,"A young woman struggles to move on with her life after the death of her husband, an acclaimed folk singer, when a brash New York writer forces her to confront her loss and the ambiguous circumstances of his death.",tt2338424,0,135026.0,6.6,51.0,2010-2019
The Debt,"Mystery, Drama, Thriller",2015,"Set against the backdrop of an international finance deal in New York and Peru, Oliver's Deal is an intense political drama which explores how far people will go to get what they want.",tt2698966,0,0.0,4.3,8.0,2010-2019
A Very Murray Christmas,"Comedy, Music",2015,"Bill Murray worries no one will show up to his TV show due to a massive snowstorm in New York City. Through luck and perseverance, guests arrive at Gotham’s Carlyle Hotel to help him — dancing and singing in holiday spirit.",tt4537842,0,0.0,5.2,149.0,2010-2019
Chloe and Theo,Drama,2015,"A young woman, Chloe, living by her wits on the streets of New York City, has a chance meeting with a wise Inuit Eskimo, Theo, who was sent to New York by his elders to provide a message to the people of the world – We either change our destructive was or be destroyed by them. Chloe, who has been searching for something to believe in, becomes inspired by Theo and , with the help of a kind lawyer, Monica, the three of them present Theo’s story to the United Nations in hopes of creating a better future for all of us.",tt1754736,0,0.0,6.4,24.0,2010-2019
Staten Island Summer,Comedy,2015,Pals Danny and Frank spend the summer after high school working as lifeguards while figuring out their future.,tt3137764,0,0.0,5.7,77.0,2010-2019
